time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,compassAngle,gpsX,gpsY,truePosX,truePosY
4.75000,0.00721,1.59937,9.86004,0.00058,-0.00087,0.18221,-1.80111,-76.47629,43.20501,-75.69593,43.37949,-0.08
4.80000,-0.00280,1.72420,9.80208,0.00279,0.00030,0.19062,-1.81043,-76.87854,43.09945,-76.09981,43.28107,-0.08
4.85000,-0.02060,1.84496,9.81264,0.00562,0.00133,0.19892,-1.82021,-77.27975,42.99000,-76.50266,43.17883,-0.08
4.90000,-0.02365,1.89359,9.81824,0.00560,0.00179,0.20511,-1.83035,-77.67974,42.87628,-76.90440,43.07255,-0.08
4.95000,-0.01968,1.85169,9.81979,0.00324,0.00167,0.20679,-1.84068,-78.07840,42.75817,-77.30496,42.96207,-0.08
5.00000,-0.01933,1.88154,9.72687,0.00083,0.00132,0.20989,-1.85110,-78.47569,42.63565,-77.70432,42.84741,-0.08
5.05000,-0.03098,1.90166,9.82174,0.00109,0.00104,0.21468,-1.86173,-78.87160,42.50882,-78.10240,42.72859,-0.08
5.10000,-0.03374,1.95014,9.80190,0.00221,0.00083,0.21901,-1.87259,-79.26603,42.37759,-78.49913,42.60551,-0.08
5.15000,-0.02425,1.90643,9.76367,0.00216,0.00063,0.21993,-1.88359,-79.65889,42.24190,-78.89443,42.47805,-0.08
5.20000,-0.01466,1.90884,9.76495,0.00107,0.00052,0.22062,-1.89460,-80.05014,42.10174,-79.28830,42.34623,-0.08
5.25000,-0.01581,1.91426,9.86595,0.00085,0.00062,0.22192,-1.90567,-80.43979,41.95723,-79.68067,42.21008,-0.08
5.30000,-0.02173,1.95976,9.82532,0.00161,0.00086,0.22525,-1.91685,-80.82778,41.80836,-80.07150,42.06961,-0.09
5.35000,-0.02957,2.00377,9.80561,0.00281,0.00112,0.22914,-1.92823,-81.21405,41.65509,-80.46069,41.92478,-0.09
5.40000,-0.03536,2.08062,9.79094,0.00347,0.00129,0.23381,-1.93982,-81.59846,41.49729,-80.84815,41.77552,-0.09
5.45000,-0.04209,2.12171,9.83841,0.00371,0.00136,0.23881,-1.95166,-81.98091,41.33490,-81.23377,41.62174,-0.09
5.50000,-0.04430,2.15105,9.78971,0.00337,0.00133,0.24302,-1.96373,-82.36127,41.16778,-81.61746,41.46336,-0.09
5.55000,-0.04100,2.18599,9.81523,0.00243,0.00120,0.24564,-1.97596,-82.73944,40.99586,-81.99914,41.30031,-0.09
5.60000,-0.03585,2.16661,9.77646,0.00135,0.00106,0.24717,-1.98830,-83.11533,40.81914,-82.37874,41.13254,-0.09
5.65000,-0.03367,2.14749,9.79378,0.00087,0.00100,0.24874,-2.00070,-83.48893,40.63767,-82.75621,40.96010,-0.09
5.70000,-6.52886,-0.14126,12.22747,-0.08066,-0.05271,0.07444,-2.01141,-83.86018,40.45149,-83.12562,40.78423,-0.09
5.75000,-3.35744,-0.02058,13.30717,0.07594,-0.19299,0.15131,-2.02001,-84.22657,40.26305,-83.48285,40.61092,-0.10
5.80000,-2.79352,-0.60511,10.59419,-0.02188,-0.23675,0.05601,-2.02295,-84.57864,40.07842,-83.82981,40.44146,-0.11
5.85000,-0.44761,0.37486,7.78948,0.14707,-0.18154,0.13367,-2.02934,-84.91994,39.90698,-84.17530,40.27343,-0.12
5.90000,0.93677,1.55245,5.09156,0.07625,-0.01340,0.10712,-2.03517,-85.25884,39.73580,-84.51808,40.10289,-0.12
5.95000,1.38472,1.14265,6.85639,0.12428,0.08843,0.09779,-2.04016,-85.59824,39.56138,-84.85891,39.92955,-0.12
6.00000,0.74171,0.89363,6.70919,0.03848,0.22367,0.10138,-2.04578,-85.93785,39.38300,-85.19955,39.75543,-0.12
6.05000,5.73405,6.79548,7.24311,-0.10808,0.28414,0.27713,-2.05484,-86.27892,39.20259,-85.54666,39.57453,-0.12
6.10000,8.00855,7.63385,18.43817,-0.34868,0.30725,0.35702,-2.07248,-86.62179,39.01073,-85.90804,39.37721,-0.12
6.15000,1.68541,-2.42080,20.16037,0.03539,0.38369,0.34488,-2.08991,-86.97262,38.79109,-86.27322,39.17435,-0.12
6.20000,-2.54651,1.65057,7.83941,0.17374,0.23116,0.35004,-2.10775,-87.33057,38.56524,-86.63755,38.96638,-0.10
